Country,SSP-VIKOR $G_{1}$,SSP-VIKOR $G_{2}$,SSP-VIKOR $G_{3}$,SSP-VIKOR $G_{4}$,SSP-VIKOR $G_{5}$
Belgium,0.5524874828053369,0.5440988869518502,0.5419583404902457,0.5451895642628604,0.5445027101652612
Bulgaria,0.6432934467436023,0.6356871496968576,0.6289046116303438,0.6351709087345204,0.6385440134612287
Czechia,0.6099703260424703,0.6004657553148891,0.5913081665767899,0.5998996508844523,0.5990213616095789
Denmark,0.43878179107781223,0.4276410120696494,0.4232444567526874,0.4276162642685287,0.42636276426434894
Germany,0.480613350824488,0.46810675291012493,0.4502660202112454,0.4684218764006387,0.45903525786526256
Estonia,0.48652590562506903,0.4810426941304121,0.47522693270402216,0.4790012399654617,0.48185157223066044
Greece,0.5615629934310449,0.5554419828589865,0.5473248910558722,0.5543047178324896,0.5581261286756258
Spain,0.5531312056537224,0.542911536579295,0.5387946826797355,0.5437726717510132,0.5465811028644759
France,0.5104575737664476,0.5003580097592163,0.4840797124465537,0.5011273728634461,0.48872684361702906
Croatia,0.9220247579261118,0.9322916096515159,0.9308347450675295,0.9327166077510074,0.9212392506973697
Ireland,0.89970633405273,0.9047119900114163,0.9008092568252826,0.9036129981571464,0.8955537565009742
Italy,0.45843668201733556,0.4449424869588729,0.41945279125404733,0.4465678666522547,0.42984535026036436
Cyprus,0.3115411088965177,0.3131063026058361,0.30622123583850736,0.31146297296820574,0.3077752092785592
Latvia,0.9443350249755893,0.9491456332084502,0.9479498068205252,0.9480888761574966,0.9460487919159704
Lithuania,0.7454011437092367,0.7760568330530739,0.7685849141181462,0.7735221879848229,0.7376247142195992
Luxembourg,0.524237179958888,0.5190691195577564,0.5189878133467444,0.5199011808809351,0.5258206366640454
Hungary,0.6385793447601277,0.6296974706944792,0.6272856539986513,0.6289799675646313,0.6371940473554494
Malta,0.439139448851617,0.42504184422503816,0.4176777359525766,0.42409742146814217,0.4362796855076908
Netherlands,0.5265051304381041,0.5144357770153184,0.511403106324754,0.515394370319234,0.5199801295191275
Austria,0.4101582069208547,0.40525874533238254,0.4019076517390465,0.40326662395691504,0.4024434685064314
Poland,0.6471345976338685,0.6478929665627794,0.643779607516635,0.6470401920304222,0.6438307583771643
Portugal,0.5018272953925049,0.4984520856980762,0.49871099365806754,0.4981421912051127,0.4995762839272048
Romania,0.8310868183338391,0.8542559149275779,0.8542559149275779,0.8542559149275779,0.8310868183338391
Slovenia,0.6107944662267204,0.6003354927396971,0.5939329544798702,0.6007148866675964,0.5995708768581682
Slovakia,0.7816581179541849,0.8070055357374671,0.8030350295110535,0.8071650397462158,0.7761882303751404
Finland,0.4947737830755322,0.5063706676961891,0.5103357225867107,0.5077549960221823,0.49186248206014516
Sweden,0.19357032558142725,0.23560196962341556,0.23560196962341556,0.23560196962341556,0.19357032558142725
Iceland,0.7314093152241058,0.7256598430385461,0.7279036200075255,0.7254332452300535,0.7334250858799005
Norway,0.5783266951162753,0.5806362038826229,0.5813345254781181,0.5809250536311774,0.5752006129971116
