Country,SSP-VIKOR $G_{1}$,SSP-VIKOR $G_{2}$,SSP-VIKOR $G_{3}$,SSP-VIKOR $G_{4}$,SSP-VIKOR $G_{5}$
Belgium,14,15,15,15,14
Bulgaria,21,21,21,21,21
Czechia,18,19,18,18,18
Denmark,4,5,6,5,4
Germany,7,7,7,7,7
Estonia,8,8,8,8,8
Greece,16,16,16,16,16
Spain,15,14,14,14,15
France,11,10,9,10,9
Croatia,28,28,28,28,28
Ireland,27,27,27,27,27
Italy,6,6,5,6,5
Cyprus,2,2,2,2,2
Latvia,29,29,29,29,29
Lithuania,24,24,24,24,24
Luxembourg,12,13,13,13,13
Hungary,20,20,20,20,20
Malta,5,4,4,4,6
Netherlands,13,12,12,12,12
Austria,3,3,3,3,3
Poland,22,22,22,22,22
Portugal,10,9,10,9,11
Romania,26,26,26,26,26
Slovenia,19,18,19,19,19
Slovakia,25,25,25,25,25
Finland,9,11,11,11,10
Sweden,1,1,1,1,1
Iceland,23,23,23,23,23
Norway,17,17,17,17,17
