Country,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0
Belgium,15,15,15,15,14,14,14,14,14,13,11
Bulgaria,21,21,21,21,21,21,21,21,21,21,21
Czechia,18,18,18,19,19,19,19,19,19,19,18
Denmark,5,5,5,5,4,4,4,4,4,4,3
Germany,7,7,7,7,7,7,7,7,7,7,6
Estonia,8,8,8,8,8,8,8,8,10,11,13
Greece,16,16,16,16,16,16,16,16,16,17,19
Spain,14,14,14,14,15,15,15,15,15,15,14
France,10,10,10,10,9,9,9,9,8,8,7
Croatia,28,28,28,28,28,28,28,28,28,28,28
Ireland,27,27,27,27,27,27,27,27,27,27,27
Italy,6,6,6,6,6,6,6,6,5,5,4
Cyprus,2,2,2,2,2,2,2,2,2,2,2
Latvia,29,29,29,29,29,29,29,29,29,29,29
Lithuania,24,24,24,24,24,24,24,24,24,24,25
Luxembourg,13,13,13,13,13,13,13,13,13,14,15
Hungary,20,20,20,20,20,20,20,20,20,20,20
Malta,4,4,4,4,5,5,5,5,6,6,8
Netherlands,12,12,12,12,12,12,12,12,12,12,10
Austria,3,3,3,3,3,3,3,3,3,3,5
Poland,22,22,22,22,22,22,22,22,22,22,22
Portugal,9,9,9,9,10,10,10,11,11,10,12
Romania,26,26,26,26,26,26,26,26,26,26,26
Slovenia,19,19,19,18,18,18,18,18,18,18,17
Slovakia,25,25,25,25,25,25,25,25,25,25,24
Finland,11,11,11,11,11,11,11,10,9,9,9
Sweden,1,1,1,1,1,1,1,1,1,1,1
Iceland,23,23,23,23,23,23,23,23,23,23,23
Norway,17,17,17,17,17,17,17,17,17,16,16
